,0
626,26966.203242223914
627,38012.999747320304
628,35218.83023531493
629,39055.9331221439
630,34312.96143415838
631,24707.83030752204
632,28096.44024477138
633,36764.88468084706
634,34371.049930411646
635,38150.171061747926
636,33962.01151039316
637,24414.78288123037
638,28081.993177813296
639,36527.71345205957
640,33709.09446742469
641,37580.86719341946
642,33756.404438335536
643,24175.832599160614
644,28053.41585449276
645,35947.8979202261
646,32950.892984667036
647,36945.78300647028
648,32992.55986946238
649,24279.2437349265
650,23776.744216946485
651,29058.02489248778
652,28626.432049616633
653,31449.803546143317
654,31409.916098691778
655,22883.60759471462
656,23271.95534379866
657,31137.20331475095
658,28863.666511138188
659,31859.21613589887
660,31280.17121004413
661,22675.277588380715
662,21986.03359556805
663,28572.965921462484
664,27863.36503470629
665,31152.217907598813
666,31130.250976336334
667,22488.881896620216
668,25887.19198632483
669,34980.53750110205
670,32770.199946365494
671,36565.34399426918
672,33177.170106555626
673,24014.526671743835
674,27706.489755135855
675,37462.05238633967
676,34403.97986542978
677,38537.06572378913
678,33975.94868436042
679,24433.177440672003
680,28119.740094953737
681,36920.166824196385
682,34444.265767172365
683,38553.81521245152
684,33590.056851066176
685,24185.602889265716
686,28083.23029588832
687,36527.71345205957
688,33597.671219086675
689,38242.19401369328
690,33603.89769594005
691,24156.48144798094
692,28068.860779658793
693,36907.494142379124
694,34398.79278339125
695,37456.96812031552
696,32929.890855982245
697,24185.602889265716
698,23779.66610824217
699,31853.595264733267
700,29678.58716359663
701,32359.677288410137
702,30641.13900596798
703,22421.128064624365
704,21598.55016569416
705,27965.190374856502
706,27538.31556600945
707,30649.50690690451
708,30795.29106387647
709,22286.60454224293
710,26410.79527053201
711,36531.48339926922
712,33891.775596470485
713,37763.504558231405
714,33483.514395667735
715,23802.610941405386
716,27169.16453794799
717,36211.35729462216
718,34322.18910347415
719,37511.58171760147
720,32774.225990712795
721,23927.40392684073
722,27169.16453794799
723,36120.681804611726
724,33781.283432595206
725,37186.270911900996
726,33110.71556994409
727,23914.07756542099
728,27403.95367758987
729,35868.66203539208
730,34332.24489352185
731,36977.43128632985
732,32220.909211515886
733,23480.875075372453
734,26594.256233009026
735,34962.368762010694
736,31789.06030180269
737,35155.29650453243
738,31584.755326336777
739,23202.109500811497
740,22608.554923582356
741,31137.20331475095
742,29243.449476104044
743,32214.116502371813
744,30318.78838775026
745,21912.037186029665
746,21292.294348306044
747,28360.258221662392
748,27437.732156212056
749,30596.934664218716
750,30204.283626147728
751,21021.471028544285
752,23951.54570398191
753,33617.59647122638
754,30591.72100331516
755,33616.706776580264
